"フレーム数,中心座標X,中心座標Y,左上x,左上y"
26,650,136,640,126
27,654,141,644,132
43,637,144,626,138
44,633,144,622,137
45,626,145,610,138
46,621,146,608,138
47,610,148,598,140
48,601,150,586,142
49,592,152,580,144
50,585,155,576,146
51,579,157,566,143
52,571,159,560,151
53,563,159,552,152
54,555,160,542,152
55,549,160,536,152
56,544,161,533,153
59,535,164,523,154
60,531,167,520,156
61,527,169,514,160
62,518,170,508,162
63,512,173,500,163
64,506,180,496,170
65,502,186,492,174
66,497,192,487,180
67,493,198,482,188
68,488,203,476,194
69,478,207,468,198
70,471,210,460,202
71,466,214,454,204
72,462,218,452,208
73,461,220,448,210
74,459,225,448,216
75,455,229,445,218
76,450,235,440,224
77,443,242,432,232
78,438,248,428,238
79,432,253,422,244
80,428,257,418,248
81,425,260,415,250
82,419,263,408,254
86,392,278,382,264
89,390,306,382,296
91,388,322,378,308
93,386,342,378,332
94,1049,203,1047,164
95,378,353,368,342
100,360,386,352,376
101,360,391,352,380
102,360,394,352,384
108,358,433,346,422
111,360,447,352,436
112,360,453,352,444
113,360,457,352,448
114,362,463,352,452
115,361,468,352,458
116,361,472,352,464
117,363,475,352,466
118,366,478,352,468
119,368,485,358,470
120,371,490,360,480
121,375,495,360,486
122,377,501,368,490
123,379,505,370,494
124,382,510,372,502
125,386,514,376,502
126,389,520,378,510
127,393,526,384,516
128,396,532,386,522
129,401,537,389,526
130,405,547,394,534
131,408,555,398,542
132,414,563,402,550
133,418,570,406,560
134,425,577,414,564
135,432,585,420,574
136,437,591,426,582
137,439,595,428,584
138,446,604,432,592
139,455,611,442,600
140,466,614,448,606
141,480,618,468,610
142,487,621,476,610
143,491,617,480,608
144,499,617,486,608
145,502,620,492,610
146,502,623,492,614
147,504,631,494,617
148,510,639,498,628
149,515,648,504,636
150,522,654,512,638
151,531,656,520,648
152,539,650,528,640
153,548,641,536,632
154,558,638,544,630
155,568,640,554,632
156,581,640,570,632
157,592,639,574,632
158,603,644,592,632
159,611,648,598,638
160,618,653,608,644
161,626,658,614,648
162,631,666,620,654
