W H S V
0.000434870549116 99 87 210
0.000753740691637 119 49 220
0.00118210071139 119 50 216
0.00167748075871 143 58 227
0.00215392793018 143 58 227
0.00250250722566 155 82 239
0.00263081351481 155 83 238
0.00250250722566 146 63 219
0.00215392793018 146 62 223
0.00167748075871 129 53 218
0.00118210071139 129 55 209
0.000753740691637 101 86 207
0.000434870549116 101 86 207
0.000753740691637 111 57 216
0.00130642332847 146 62 225
0.00204887962545 146 62 226
0.00290749858744 159 96 252
0.00373330208526 159 97 251
0.00433747820111 158 113 255
0.00455986546398 158 113 255
0.00433747820111 158 105 255
0.00373330208526 157 101 255
0.00290749858744 156 89 240
0.00204887962545 156 94 227
0.00130642332847 125 45 206
0.000753740691637 125 45 206
0.00118210071139 111 57 216
0.00204887962545 146 62 228
0.00321328288319 146 61 231
0.00455986546398 157 90 255
0.00585498315243 158 93 255
0.00680251991709 157 108 255
0.00715129257136 156 102 255
0.00680251991709 156 96 255
0.00585498315243 157 99 255
0.00455986546398 156 89 240
0.00321328288319 156 94 228
0.00204887962545 125 45 206
0.00118210071139 125 44 207
0.00167748075871 114 56 215
0.00290749858744 161 85 255
0.00455986546398 160 82 255
0.00647075710589 162 102 255
0.00830861658918 164 113 255
0.00965323526301 164 127 255
0.0101481672185 164 121 255
0.00965323526301 164 112 255
0.00830861658918 164 110 255
0.00647075710589 163 100 255
0.00455986546398 164 106 255
0.00290749858744 162 100 255
0.00167748075871 164 112 255
0.00215392793018 114 56 214
0.00373330208526 162 91 255
0.00585498315243 161 87 255
0.00830861658918 163 110 255
0.010668474878 165 121 255
0.012394999431 164 120 255
0.0130305046414 161 105 255
0.012394999431 164 112 255
0.010668474878 164 110 255
0.00830861658918 164 109 255
0.00585498315243 163 103 255
0.00373330208526 160 91 255
0.00215392793018 162 100 255
0.00250250722566 129 52 221
0.00433747820111 163 107 255
0.00680251991709 161 97 255
0.00965323526301 164 112 255
0.012394999431 164 115 255
0.0144009347775 164 114 255
0.0151392864924 164 113 255
0.0144009347775 164 117 255
0.012394999431 164 111 255
0.00965323526301 163 117 255
0.00680251991709 163 117 255
0.00433747820111 161 102 255
0.00250250722566 163 110 255
0.00263081351481 129 51 223
0.00455986546398 164 112 255
0.00715129257136 161 96 255
0.0101481672185 164 112 255
0.0130305046414 163 107 255
0.0151392864924 163 108 255
0.0159154943092 163 108 255
0.0151392864924 164 111 255
0.0130305046414 165 120 255
0.0101481672185 163 117 255
0.00715129257136 163 118 255
0.00455986546398 163 110 255
0.00263081351481 163 116 255
0.00250250722566 138 59 228
0.00433747820111 161 102 255
0.00680251991709 161 99 255
0.00965323526301 164 113 255
0.012394999431 164 113 255
0.0144009347775 165 121 255
0.0151392864924 163 108 255
0.0144009347775 164 123 255
0.012394999431 164 127 255
0.00965323526301 163 123 255
0.00680251991709 163 122 255
0.00433747820111 161 112 255
0.00250250722566 162 117 255
0.00215392793018 138 60 227
0.00373330208526 162 103 255
0.00585498315243 161 97 255
0.00830861658918 163 108 255
0.010668474878 165 119 255
0.012394999431 165 117 255
0.0130305046414 165 119 255
0.012394999431 165 129 255
0.010668474878 165 129 255
0.00830861658918 163 124 255
0.00585498315243 162 121 255
0.00373330208526 161 112 255
0.00215392793018 161 116 255
0.00167748075871 130 59 229
0.00290749858744 161 100 255
0.00455986546398 159 91 255
0.00647075710589 162 111 255
0.00830861658918 163 116 255
0.00965323526301 163 120 255
0.0101481672185 163 124 255
0.00965323526301 163 131 255
0.00830861658918 162 128 255
0.00647075710589 161 120 255
0.00455986546398 161 119 255
0.00290749858744 160 111 255
0.00167748075871 161 114 255
0.00118210071139 130 61 220
0.00204887962545 162 107 255
0.00321328288319 161 97 255
0.00455986546398 163 116 255
0.00585498315243 161 106 255
0.00680251991709 162 114 255
0.00715129257136 161 110 255
0.00680251991709 162 124 255
0.00585498315243 162 130 255
0.00455986546398 162 124 255
0.00321328288319 161 121 255
0.00204887962545 161 115 255
0.00118210071139 162 121 255
0.000753740691637 102 90 219
0.00130642332847 151 59 217
0.00204887962545 151 56 228
0.00290749858744 161 111 255
0.00373330208526 160 106 255
0.00433747820111 158 110 255
0.00455986546398 159 114 255
0.00433747820111 158 114 255
0.00373330208526 158 114 255
0.00290749858744 157 106 255
0.00204887962545 160 118 255
0.00130642332847 159 96 244
0.000753740691637 159 99 236
0.000434870549116 102 91 215
0.000753740691637 151 60 212
0.00118210071139 151 58 221
0.00167748075871 160 106 255
0.00215392793018 160 104 255
0.00250250722566 159 116 255
0.00263081351481 159 116 255
0.00250250722566 159 121 255
0.00215392793018 160 123 255
0.00167748075871 159 113 255
0.00118210071139 160 122 255
0.000753740691637 159 97 241
0.000434870549116 159 100 234
0.000434870549116 157 166 208
0.000753740691637 157 165 209
0.00118210071139 160 183 227
0.00167748075871 160 182 229
0.00215392793018 162 187 241
0.00250250722566 162 183 246
0.00263081351481 162 195 255
0.00250250722566 162 195 255
0.00215392793018 163 196 255
0.00167748075871 163 198 255
0.00118210071139 162 198 255
0.000753740691637 162 196 255
0.000434870549116 161 195 255
0.000753740691637 161 187 232
0.00130642332847 161 186 233
0.00204887962545 163 204 255
0.00290749858744 163 202 255
0.00373330208526 163 204 255
0.00433747820111 163 202 255
0.00455986546398 162 207 255
0.00433747820111 162 207 255
0.00373330208526 162 205 255
0.00290749858744 162 205 255
0.00204887962545 162 207 255
0.00130642332847 162 208 255
0.000753740691637 162 209 255
0.00118210071139 161 190 228
0.00204887962545 161 189 229
0.00321328288319 163 205 255
0.00455986546398 163 202 255
0.00585498315243 163 204 255
0.00680251991709 163 201 255
0.00715129257136 162 211 255
0.00680251991709 162 209 255
0.00585498315243 163 206 255
0.00455986546398 162 203 255
0.00321328288319 162 205 255
0.00204887962545 162 205 255
0.00118210071139 162 209 255
0.00167748075871 162 209 255
0.00290749858744 162 205 255
0.00455986546398 162 208 255
0.00647075710589 161 206 255
0.00830861658918 162 207 255
0.00965323526301 162 205 255
0.0101481672185 162 188 255
0.00965323526301 163 199 255
0.00830861658918 164 216 255
0.00647075710589 162 197 255
0.00455986546398 162 207 255
0.00290749858744 162 207 255
0.00167748075871 162 204 255
0.00215392793018 161 200 255
0.00373330208526 162 203 255
0.00585498315243 161 200 255
0.00830861658918 161 199 255
0.010668474878 162 201 255
0.012394999431 162 201 255
0.0130305046414 162 187 255
0.012394999431 164 211 255
0.010668474878 164 218 255
0.00830861658918 163 201 255
0.00585498315243 162 207 255
0.00373330208526 162 207 255
0.00215392793018 162 204 255
0.00250250722566 162 207 255
0.00433747820111 161 200 255
0.00680251991709 162 203 255
0.00965323526301 162 203 255
0.012394999431 162 209 255
0.0144009347775 162 209 255
0.0151392864924 162 189 255
0.0144009347775 163 196 255
0.012394999431 163 204 255
0.00965323526301 163 203 255
0.00680251991709 162 206 255
0.00433747820111 162 206 255
0.00250250722566 161 206 255
0.00263081351481 161 201 255
0.00455986546398 161 200 255
0.00715129257136 161 201 255
0.0101481672185 161 202 255
0.0130305046414 162 205 255
0.0151392864924 162 205 255
0.0159154943092 162 192 255
0.0151392864924 163 197 255
0.0130305046414 164 216 255
0.0101481672185 163 201 255
0.00715129257136 162 206 255
0.00455986546398 162 206 255
0.00263081351481 161 206 255
0.00250250722566 161 212 255
0.00433747820111 160 202 255
0.00680251991709 161 201 255
0.00965323526301 161 201 255
0.012394999431 162 203 255
0.0144009347775 162 203 255
0.0151392864924 162 203 255
0.0144009347775 162 203 255
0.012394999431 162 203 255
0.00965323526301 162 202 255
0.00680251991709 161 200 255
0.00433747820111 161 201 255
0.00250250722566 161 201 255
0.00215392793018 161 207 255
0.00373330208526 160 198 255
0.00585498315243 161 197 255
0.00830861658918 161 198 255
0.010668474878 162 200 255
0.012394999431 162 202 255
0.0130305046414 162 203 255
0.012394999431 162 204 255
0.010668474878 162 206 255
0.00830861658918 162 208 255
0.00585498315243 162 207 255
0.00373330208526 162 211 255
0.00215392793018 162 211 255
0.00167748075871 160 200 255
0.00290749858744 161 204 255
0.00455986546398 161 201 255
0.00647075710589 161 201 255
0.00830861658918 162 198 255
0.00965323526301 162 198 255
0.0101481672185 162 199 255
0.00965323526301 162 200 255
0.00830861658918 162 203 255
0.00647075710589 162 204 255
0.00455986546398 162 198 255
0.00290749858744 162 203 255
0.00167748075871 162 198 255
0.00118210071139 160 200 255
0.00204887962545 161 210 255
0.00321328288319 162 209 255
0.00455986546398 162 207 255
0.00585498315243 162 204 255
0.00680251991709 162 204 255
0.00715129257136 163 204 255
0.00680251991709 163 202 255
0.00585498315243 162 203 255
0.00455986546398 162 203 255
0.00321328288319 163 210 255
0.00204887962545 163 212 255
0.00118210071139 163 206 255
0.000753740691637 158 192 255
0.00130642332847 159 200 255
0.00204887962545 158 199 255
0.00290749858744 158 199 255
0.00373330208526 159 198 255
0.00433747820111 159 199 255
0.00455986546398 160 195 255
0.00433747820111 161 200 252
0.00373330208526 161 195 244
0.00290749858744 161 195 244
0.00204887962545 161 190 232
0.00130642332847 161 191 231
0.000753740691637 159 189 223
0.000434870549116 160 209 255
0.000753740691637 159 202 255
0.00118210071139 159 203 255
0.00167748075871 159 203 255
0.00215392793018 160 204 255
0.00250250722566 160 205 255
0.00263081351481 161 200 252
0.00250250722566 161 201 251
0.00215392793018 161 195 244
0.00167748075871 161 196 243
0.00118210071139 161 190 232
0.000753740691637 161 191 231
0.000434870549116 159 189 223
0.000434870549116 42 153 215
0.000753740691637 42 153 215
