W R G B
0.000434870549116 138 189 210
0.000753740691637 178 180 220
0.00118210071139 174 176 216
0.00167748075871 215 175 227
0.00215392793018 215 175 227
0.00250250722566 239 162 227
0.00263081351481 238 161 226
0.00250250722566 211 165 219
0.00215392793018 215 169 223
0.00167748075871 187 173 218
0.00118210071139 178 164 209
0.000753740691637 137 181 207
0.000434870549116 137 181 207
0.000753740691637 168 182 216
0.00130642332847 218 170 225
0.00204887962545 219 171 226
0.00290749858744 252 157 225
0.00373330208526 251 156 224
0.00433747820111 255 142 225
0.00455986546398 255 142 225
0.00433747820111 255 150 226
0.00373330208526 255 154 230
0.00290749858744 240 156 223
0.00204887962545 227 143 210
0.00130642332847 176 170 206
0.000753740691637 176 170 206
0.00118210071139 168 182 216
0.00204887962545 221 173 228
0.00321328288319 224 176 231
0.00455986546398 255 165 233
0.00585498315243 255 162 230
0.00680251991709 255 147 230
0.00715129257136 255 153 236
0.00680251991709 255 159 235
0.00585498315243 255 156 232
0.00455986546398 240 156 223
0.00321328288319 228 144 211
0.00204887962545 176 170 206
0.00118210071139 177 171 207
0.00167748075871 168 178 215
0.00290749858744 255 170 225
0.00455986546398 255 173 228
0.00647075710589 255 153 214
0.00830861658918 255 142 203
0.00965323526301 255 128 194
0.0101481672185 255 134 200
0.00965323526301 255 143 201
0.00830861658918 255 145 203
0.00647075710589 255 155 213
0.00455986546398 255 149 207
0.00290749858744 255 155 215
0.00167748075871 255 143 203
0.00215392793018 167 177 214
0.00373330208526 255 164 219
0.00585498315243 255 168 223
0.00830861658918 255 145 206
0.010668474878 255 134 195
0.012394999431 255 135 201
0.0130305046414 255 150 216
0.012394999431 255 143 201
0.010668474878 255 145 203
0.00830861658918 255 146 204
0.00585498315243 255 152 210
0.00373330208526 255 164 224
0.00215392793018 255 155 215
0.00250250722566 190 176 221
0.00433747820111 255 148 208
0.00680251991709 255 158 218
0.00965323526301 255 143 203
0.012394999431 255 140 200
0.0144009347775 255 141 202
0.0151392864924 255 142 203
0.0144009347775 255 138 199
0.012394999431 255 144 205
0.00965323526301 255 138 204
0.00680251991709 255 138 204
0.00433747820111 255 153 217
0.00250250722566 255 145 209
0.00263081351481 192 178 223
0.00455986546398 255 143 203
0.00715129257136 255 159 219
0.0101481672185 255 143 203
0.0130305046414 255 148 208
0.0151392864924 255 147 208
0.0159154943092 255 147 208
0.0151392864924 255 144 205
0.0130305046414 255 135 196
0.0101481672185 255 138 204
0.00715129257136 255 137 203
0.00455986546398 255 145 209
0.00263081351481 255 139 203
0.00250250722566 206 175 228
0.00433747820111 255 153 216
0.00680251991709 255 156 219
0.00965323526301 255 142 202
0.012394999431 255 142 202
0.0144009347775 255 134 194
0.0151392864924 255 147 207
0.0144009347775 255 132 198
0.012394999431 255 128 194
0.00965323526301 255 132 203
0.00680251991709 255 133 204
0.00433747820111 255 143 215
0.00250250722566 255 138 210
0.00215392793018 205 174 227
0.00373330208526 255 152 215
0.00585498315243 255 158 221
0.00830861658918 255 147 207
0.010668474878 255 136 196
0.012394999431 255 138 198
0.0130305046414 255 136 196
0.012394999431 255 126 192
0.010668474878 255 126 192
0.00830861658918 255 131 202
0.00585498315243 255 134 205
0.00373330208526 255 143 215
0.00215392793018 255 139 211
0.00167748075871 193 176 229
0.00290749858744 255 155 218
0.00455986546398 255 164 227
0.00647075710589 255 144 211
0.00830861658918 255 139 206
0.00965323526301 255 135 205
0.0101481672185 255 131 201
0.00965323526301 255 124 200
0.00830861658918 255 127 203
0.00647075710589 255 135 211
0.00455986546398 255 136 212
0.00290749858744 255 144 217
0.00167748075871 255 141 214
0.00118210071139 184 167 220
0.00204887962545 255 148 211
0.00321328288319 255 158 221
0.00455986546398 255 139 206
0.00585498315243 255 149 216
0.00680251991709 255 141 211
0.00715129257136 255 145 215
0.00680251991709 255 131 207
0.00585498315243 255 125 201
0.00455986546398 255 131 207
0.00321328288319 255 134 210
0.00204887962545 255 140 213
0.00118210071139 255 134 207
0.000753740691637 142 187 219
0.00130642332847 217 167 215
0.00204887962545 228 178 226
0.00290749858744 255 144 215
0.00373330208526 255 149 220
0.00433747820111 255 145 225
