W Y Cr Cb
0.000434870549116 176 101 147
0.000753740691637 184 124 148
0.00118210071139 180 124 148
0.00167748075871 193 144 147
0.00215392793018 193 144 147
0.00250250722566 192 162 148
0.00263081351481 191 162 148
0.00250250722566 185 147 147
0.00215392793018 189 147 147
0.00167748075871 182 132 148
0.00118210071139 173 132 148
0.000753740691637 171 104 148
0.000434870549116 171 104 148
0.000753740691637 182 118 147
0.00130642332847 191 147 147
0.00204887962545 192 147 147
0.00290749858744 193 170 146
0.00373330208526 192 170 146
0.00433747820111 185 178 151
0.00455986546398 185 178 151
0.00433747820111 190 174 148
0.00373330208526 193 172 149
0.00290749858744 189 164 147
0.00204887962545 176 164 147
0.00130642332847 176 128 145
0.000753740691637 176 128 145
0.00118210071139 182 118 147
0.00204887962545 194 147 147
0.00321328288319 197 147 147
0.00455986546398 200 167 147
0.00585498315243 198 169 146
0.00680251991709 189 175 151
0.00715129257136 193 172 152
0.00680251991709 196 170 150
0.00585498315243 194 171 149
0.00455986546398 189 164 147
0.00321328288319 177 164 147
0.00204887962545 176 128 145
0.00118210071139 177 128 145
0.00167748075871 179 120 148
0.00290749858744 202 166 141
0.00455986546398 204 164 142
0.00647075710589 190 174 142
0.00830861658918 183 179 139
0.00965323526301 173 186 140
0.0101481672185 178 183 140
0.00965323526301 183 179 138
0.00830861658918 185 178 138
0.00647075710589 192 173 140
0.00455986546398 187 176 139
0.00290749858744 192 173 141
0.00167748075871 183 179 139
0.00215392793018 178 120 148
0.00373330208526 197 169 140
0.00585498315243 200 167 141
0.00830861658918 185 178 140
0.010668474878 177 184 138
0.012394999431 178 183 141
0.0130305046414 189 175 143
0.012394999431 183 179 138
0.010668474878 185 178 138
0.00830861658918 185 178 139
0.00585498315243 189 175 140
0.00373330208526 198 169 143
0.00215392793018 192 173 141
0.00250250722566 185 132 148
0.00433747820111 187 176 140
0.00680251991709 194 171 142
0.00965323526301 183 179 139
0.012394999431 181 181 139
0.0144009347775 182 180 139
0.0151392864924 183 179 139
0.0144009347775 180 181 139
0.012394999431 184 179 140
0.00965323526301 181 181 141
0.00680251991709 181 181 141
0.00433747820111 191 174 143
0.00250250722566 185 178 142
0.00263081351481 187 132 148
0.00455986546398 183 179 139
0.00715129257136 195 171 142
0.0101481672185 183 179 139
0.0130305046414 187 176 140
0.0151392864924 186 177 140
0.0159154943092 186 177 140
0.0151392864924 184 179 140
